model,split,rmse,mae,r2
HistGradientBoosting_lr0.05_depth6_iter200_leaf20,test,38.54204893317781,22.345684391359786,0.1423838959106738
Random Forest,test,39.92401356473311,24.50578371695378,0.07977989072204128
Linear Regression,test,48.54868803550895,32.49912411111921,-0.36074994963245044
